RMSE,R^2 Adjusted,Features
28287.52635097921,0.8686522205180118,"['Overall Qual', 'Gr Liv Area', 'Garage Area', 'Year Built', '1st Flr SF', 'BsmtFin SF 1', 'Exterior 2nd_AsphShn', 'Exter Cond_Gd', 'BsmtFin SF 2', 'Garage Type_Basment', 'Kitchen Qual_Po', 'Total Bsmt SF', 'Bsmt Qual_TA', 'Heating QC_TA', 'Misc Val', 'Bsmt Qual_Gd']"
28327.30266779672,0.8682825732010464,"['Overall Qual', 'Gr Liv Area', 'Garage Area', 'Year Built', '1st Flr SF', 'BsmtFin SF 1', 'Condition 1_PosA', 'Bsmt Qual_Gd', 'Functional_Sal', 'Pool QC_TA', 'Fireplaces', 'Mas Vnr Type_None', 'Electrical_FuseF', 'Bsmt Qual_TA', 'Kitchen Qual_TA', 'Bsmt Qual_Gd']"
28648.477520304386,0.8652788175124518,"['Overall Qual', 'Gr Liv Area', 'Garage Area', 'Year Built', '1st Flr SF', 'BsmtFin SF 1', 'Neighborhood_ClearCr', 'BsmtFin Type 1_BLQ', 'Sale Type_ConLI', 'Foundation_Stone', 'Condition 2_Feedr', 'Roof Style_Shed', 'Garage Qual_NA', 'Bldg Type_Twnhs', 'Neighborhood_NridgHt', 'MS SubClass']"
28697.20209243836,0.8649529569921148,"['Overall Qual', 'Gr Liv Area', 'Garage Area', 'Year Built', '1st Flr SF', 'BsmtFin SF 1', 'Mas Vnr Type_NA', 'Neighborhood_NridgHt', 'Bsmt Cond_TA', 'Garage Cars', 'Exter Qual_Fa', 'Fireplace Qu_Gd', 'MS SubClass', 'Condition 1_Feedr']"
28738.603948461794,0.8642963991220138,"['Overall Qual', 'Gr Liv Area', 'Garage Area', 'Year Built', '1st Flr SF', 'BsmtFin SF 1', 'Bsmt Qual_TA', 'Garage Type_Basment', 'Garage Cond_TA', 'Id', 'Bldg Type_TwnhsE', 'BsmtFin Type 2_LwQ', 'Garage Type_Detchd', 'Bsmt Qual_Gd', 'Mas Vnr Type_NA', 'Foundation_PConc', 'Land Contour_Low', 'Bsmt Exposure_No']"
28829.5918892172,0.8635700307478907,"['Overall Qual', 'Gr Liv Area', 'Garage Area', 'Year Built', '1st Flr SF', 'BsmtFin SF 1', 'Neighborhood_NridgHt', 'Kitchen AbvGr', 'Mas Vnr Area', 'BsmtFin Type 2_LwQ', 'Bsmt Cond_Fa', 'MS Zoning_RM', 'Mas Vnr Type_None', 'Sale Type_Con', 'House Style_SLvl', 'Exterior 1st_Plywood']"
28927.080466735664,0.8625105912278295,"['Overall Qual', 'Gr Liv Area', 'Garage Area', 'Year Built', '1st Flr SF', 'BsmtFin SF 1', 'Bsmt Qual_NA', 'Foundation_CBlock', 'Utilities_NoSewr', 'Garage Type_NA', 'Condition 2_PosN', 'Garage Qual_NA', 'Neighborhood_NridgHt', 'Neighborhood_GrnHill', 'Condition 2_RRAn', 'Condition 1_Feedr', 'Lot Area', 'Bldg Type_TwnhsE']"
28954.51409239553,0.8623851331323428,"['Overall Qual', 'Gr Liv Area', 'Garage Area', 'Year Built', '1st Flr SF', 'BsmtFin SF 1', 'Year Remod/Add', 'Exterior 2nd_BrkFace', 'MS Zoning_C (all)', 'Fireplace Qu_Gd', 'Bsmt Exposure_NA', 'Fireplace Qu_Fa', 'Bsmt Full Bath', 'Roof Matl_Membran', 'Bsmt Exposure_Gd', 'Overall Cond']"
28993.17295068796,0.8620174125645879,"['Overall Qual', 'Gr Liv Area', 'Garage Area', 'Year Built', '1st Flr SF', 'BsmtFin SF 1', 'Exterior 1st_AsphShn', 'Sale Type_New', 'Exterior 1st_PreCast', 'Bsmt Exposure_Gd', 'Condition 1_RRNn', 'Bsmt Qual_Fa', 'BsmtFin Type 1_GLQ', 'Year Remod/Add', '3Ssn Porch', 'Misc Feature_TenC']"
28988.664529994392,0.8619245542444206,"['Overall Qual', 'Gr Liv Area', 'Garage Area', 'Year Built', '1st Flr SF', 'BsmtFin SF 1', 'Exter Cond_Fa', 'Condition 2_RRNn', 'Functional_Sev', 'Neighborhood_ClearCr', 'Exterior 2nd_HdBoard', 'Bedroom AbvGr', 'BsmtFin Type 2_LwQ', 'Mas Vnr Type_NA', 'Bsmt Exposure_Gd', 'Bldg Type_TwnhsE', 'BsmtFin Type 1_GLQ', 'Lot Config_FR3']"
