RMSE,R^2 Adjusted,Features
35453.47072191971,0.7934726602886906,"['Total Bsmt SF', 'Exter Cond_Fa', 'Pool QC_TA', 'Year Built', 'Enclosed Porch', 'Condition 1_PosA', 'Neighborhood_NWAmes', 'Fireplaces', 'Garage Cars', 'Roof Style_Mansard', 'Fence_GdWo', 'Bsmt Qual_TA', 'Gr Liv Area', 'Sale Type_VWD', 'Garage Cond_Fa', 'Bsmt Exposure_NA', 'Neighborhood_Somerst', 'Garage Qual_Gd']"
36104.59534256771,0.7860276010731883,"['Fence_MnPrv', 'MS Zoning_RH', 'Neighborhood_NoRidge', 'Overall Qual', 'Alley_Grvl', 'Total Bsmt SF', '2nd Flr SF', 'Functional_Min1', 'Neighborhood_NWAmes', 'Exterior 2nd_Stucco', 'Fireplace Qu_Po', 'Overall Cond', 'Exterior 2nd_AsphShn', 'Heating QC_Gd', 'Bsmt Exposure_No', 'Bsmt Full Bath']"
36210.18083119897,0.7846684089332926,"['2nd Flr SF', 'House Style_SLvl', 'Bsmt Qual_Fa', 'House Style_SLvl', 'Overall Qual', 'Bsmt Exposure_NA', 'Exterior 1st_Plywood', 'Total Bsmt SF', 'Garage Qual_NA', 'House Style_2.5Fin', 'Neighborhood_Sawyer', 'Exterior 2nd_Wd Shng', 'Condition 1_RRAe', 'Exterior 1st_PreCast', 'Bsmt Qual_NA', 'Garage Cond_Fa', 'Roof Matl_CompShg']"
36916.333760704416,0.7764079000997879,"['Exter Cond_Po', 'Garage Qual_Gd', 'Total Bsmt SF', 'Garage Cond_Po', 'Exterior 1st_HdBoard', 'Condition 2_Norm', 'Garage Cond_NA', 'Year Built', 'House Style_1.5Unf', 'Gr Liv Area', 'Garage Qual_TA', 'BsmtFin Type 1_BLQ', 'BsmtFin Type 1_NA', 'Functional_Maj2', 'Fireplace Qu_NA']"
37514.78702117837,0.7692132148664736,"['Mas Vnr Area', 'BsmtFin SF 2', 'Mas Vnr Type_None', 'Roof Style_Hip', 'Year Built', 'Fireplace Qu_TA', 'BsmtFin Type 1_GLQ', 'Fireplace Qu_Gd', 'Bsmt Exposure_Mn', '3Ssn Porch', 'Gr Liv Area', 'Misc Feature_Gar2', 'Kitchen Qual_TA', 'Condition 2_RRNn']"
37730.02861533774,0.7665573330264763,"['Roof Matl_Roll', 'Overall Qual', 'Garage Cars', 'Fireplace Qu_Fa', 'Land Contour_HLS', 'BsmtFin Type 2_BLQ', 'Neighborhood_Greens', 'Fireplace Qu_Po', 'Fireplaces', 'Mas Vnr Area', 'Exterior 1st_HdBoard', 'Functional_Sev', 'BsmtFin Type 2_BLQ', 'Garage Yr Blt']"
37827.206888459084,0.7648913614788534,"['1st Flr SF', 'Neighborhood_Greens', 'Garage Cond_Fa', 'Land Contour_HLS', 'Electrical_Mix', 'BsmtFin SF 1', 'Half Bath', 'Mas Vnr Type_Stone', 'MS SubClass', 'Exterior 1st_VinylSd', 'House Style_2.5Unf', 'BsmtFin Type 1_NA', 'Fireplace Qu_TA', 'Exter Qual_TA', 'Exter Qual_TA', 'Garage Area', 'Paved Drive_P', 'Neighborhood_GrnHill']"
37960.23820561697,0.7634675936152074,"['1st Flr SF', 'Overall Qual', 'Paved Drive_P', 'Heating QC_Fa', 'Kitchen Qual_Fa', 'Lot Shape_IR2', 'Garage Type_NA', 'Roof Matl_CompShg', 'Exterior 1st_CBlock', 'Condition 1_PosN', 'Heating QC_Gd', 'Kitchen Qual_TA', 'Heating QC_TA', 'Lot Shape_IR3', 'Exterior 2nd_PreCast', 'Exterior 1st_PreCast']"
38013.58701728736,0.7628022874690239,"['MS Zoning_FV', 'Neighborhood_MeadowV', 'Bsmt Exposure_Gd', 'House Style_SFoyer', 'Exterior 1st_AsphShn', '1st Flr SF', 'BsmtFin Type 2_BLQ', 'Sale Type_ConLw', 'Overall Qual', 'Exterior 1st_CemntBd', 'Condition 2_Feedr', 'Electrical_FuseP', 'Fireplace Qu_Po', 'Bsmt Exposure_Mn', 'Overall Qual', 'Condition 2_RRAe']"
38246.848043356986,0.7597642352727969,"['Fireplace Qu_Gd', 'Kitchen Qual_Po', 'Exter Cond_Po', 'Garage Area', 'Sale Type_New', 'Foundation_Slab', 'Yr Sold', 'Neighborhood_NridgHt', 'Lot Config_FR3', 'Heating QC_Po', 'Roof Style_Gable', 'Neighborhood_NridgHt', 'Lot Shape_IR2', 'Foundation_PConc', 'Overall Qual', 'Roof Style_Gambrel', 'Neighborhood_Gilbert']"
38280.856104879254,0.7592183864603318,"['Exterior 1st_ImStucc', 'Roof Matl_CompShg', 'Year Built', 'Functional_Typ', 'Lot Shape_IR2', 'Exter Qual_TA', 'Heating_OthW', 'Roof Matl_Membran', 'Overall Cond', 'Gr Liv Area', 'Neighborhood_StoneBr', 'Exterior 2nd_MetalSd', 'Bldg Type_TwnhsE', 'Exterior 2nd_AsphShn', 'Lot Config_CulDSac', 'Exterior 2nd_PreCast', 'Neighborhood_NoRidge', 'Bsmt Exposure_No']"
38464.41337323509,0.7572621204626936,"['BsmtFin SF 2', 'Year Built', 'Fence_MnPrv', 'Fireplace Qu_Po', 'Half Bath', 'Misc Feature_Othr', 'Total Bsmt SF', 'Neighborhood_SWISU', 'Exterior 2nd_PreCast', 'Kitchen Qual_Fa', 'Heating QC_Gd', 'Bsmt Half Bath', 'Gr Liv Area', 'Roof Matl_Tar&Grv', 'Neighborhood_OldTown']"
38713.72060773213,0.7539844180038151,"['Condition 2_RRNn', 'Heating_OthW', 'Garage Qual_Gd', 'Mas Vnr Type_NA', 'Roof Matl_Membran', 'MS Zoning_C (all)', 'BsmtFin Type 2_LwQ', 'Heating QC_Po', 'Mas Vnr Type_Stone', 'Condition 2_Feedr', 'Misc Feature_NA', 'Bldg Type_TwnhsE', 'Sale Type_ConLD', 'Overall Qual', 'Gr Liv Area', 'Exter Cond_Fa']"
38898.64309175145,0.7515063666896409,"['BsmtFin SF 1', 'Functional_Sev', 'Condition 1_PosA', 'MS Zoning_I (all)', 'Roof Matl_Membran', 'Electrical_Mix', 'Exterior 1st_PreCast', 'BsmtFin Type 2_Rec', 'Full Bath', 'Condition 2_RRAe', 'MS Zoning_RM', 'Sale Type_CWD', 'Heating_GasA', 'Overall Qual', 'Bsmt Exposure_Mn', 'Exterior 1st_Plywood', 'Functional_Mod']"
39651.878515054275,0.7416624295429153,"['Neighborhood_IDOTRR', 'Neighborhood_SawyerW', 'Bsmt Exposure_No', 'Low Qual Fin SF', 'Exterior 1st_ImStucc', 'Gr Liv Area', 'Condition 2_PosN', 'Neighborhood_NridgHt', 'Lot Area', 'Garage Type_CarPort', 'Mas Vnr Area', 'Foundation_CBlock', 'Bsmt Cond_TA', 'Condition 2_RRNn', 'Exterior 1st_PreCast', 'Bedroom AbvGr', 'Exterior 1st_ImStucc', 'Neighborhood_Somerst']"
39743.48112866759,0.7405951028684019,"['Gr Liv Area', 'Neighborhood_BrkSide', 'BsmtFin Type 1_LwQ', 'Exter Qual_Fa', 'Lot Area', 'TotRms AbvGrd', 'Neighborhood_NWAmes', 'Enclosed Porch', 'Heating_Grav', 'Functional_Mod', 'Exter Qual_TA', '1st Flr SF', 'Roof Matl_Tar&Grv', 'Roof Matl_Metal', 'Sale Type_ConLD', 'BsmtFin Type 2_NA', 'Foundation_Stone']"
39753.85465903019,0.7403319430097197,"['Heating_Wall', 'Exterior 1st_Plywood', 'BsmtFin Type 2_GLQ', 'Roof Style_Mansard', 'Bldg Type_2fmCon', 'Overall Qual', 'Heating QC_Po', 'Bsmt Cond_Po', 'House Style_2.5Unf', 'Functional_Mod', 'Lot Config_FR3', 'Heating QC_Fa', 'Exterior 2nd_CmentBd', 'Bldg Type_2fmCon', 'Exterior 1st_MetalSd', 'Neighborhood_StoneBr', 'Half Bath', 'Total Bsmt SF']"
39835.44441243313,0.7392649776062881,"['Fireplace Qu_Po', 'Neighborhood_Crawfor', 'Bsmt Qual_NA', 'Kitchen AbvGr', 'Functional_Min2', 'Overall Cond', 'Garage Cars', 'Exterior 2nd_Wd Sdng', 'Sale Type_VWD', 'Neighborhood_NoRidge', 'Functional_Min1', 'MS Zoning_RM', 'Condition 1_RRNe', 'Exterior 1st_HdBoard', 'Land Slope_Mod', 'Exterior 1st_MetalSd', 'Exterior 1st_WdShing', 'Overall Qual']"
39948.0434880589,0.7379178818754346,"['Year Remod/Add', 'Bsmt Qual_Po', 'Exterior 2nd_CmentBd', 'Exterior 1st_ImStucc', 'Lot Config_Inside', 'Lot Config_CulDSac', 'Exterior 1st_HdBoard', 'BsmtFin Type 2_Unf', 'Roof Style_Gable', 'BsmtFin Type 2_Rec', 'Year Remod/Add', 'Exterior 2nd_CBlock', 'Kitchen Qual_Po', 'Gr Liv Area', 'Alley_Grvl', 'Year Built', 'Garage Cars']"
40521.24138833016,0.730475483553966,"['Neighborhood_IDOTRR', '2nd Flr SF', 'Foundation_Stone', 'Gr Liv Area', 'Exterior 1st_CBlock', 'Electrical_SBrkr', 'Electrical_Mix', 'Fence_MnWw', 'Kitchen Qual_TA', 'Heating QC_Po', 'Exter Cond_Gd', 'Sale Type_New', 'Exterior 2nd_Stone', 'Exterior 2nd_Stone', 'Low Qual Fin SF', 'Heating QC_Po']"
40622.85752393856,0.7293880901961598,"['Bsmt Qual_TA', 'Exterior 1st_CemntBd', 'Open Porch SF', 'BsmtFin Type 1_Unf', 'Neighborhood_BrDale', 'Garage Type_Attchd', 'Overall Qual', 'BsmtFin Type 2_LwQ', 'Neighborhood_Timber', 'Paved Drive_P', 'Sale Type_VWD', 'House Style_2Story', 'Mas Vnr Type_CBlock', 'Mas Vnr Area']"
40887.80038744844,0.725442154915765,"['Sale Type_VWD', 'Mas Vnr Type_None', 'Neighborhood_Veenker', 'Garage Qual_TA', 'Exterior 2nd_CmentBd', 'Functional_Sev', 'Fence_MnWw', 'Land Contour_HLS', 'Exterior 1st_PreCast', 'Exter Cond_TA', 'Total Bsmt SF', 'Garage Qual_TA', 'Roof Matl_WdShngl', 'Lot Config_FR3', 'Electrical_Mix', 'Garage Type_Detchd', 'Gr Liv Area']"
40897.22754786772,0.7253155352782712,"['Mas Vnr Area', 'Roof Style_Shed', 'Open Porch SF', 'Bsmt Exposure_Gd', 'Bsmt Qual_NA', 'House Style_2Story', 'Heating QC_TA', '1st Flr SF', 'Exter Qual_Fa', 'BsmtFin Type 2_Unf', 'Wood Deck SF', 'Yr Sold', 'Misc Feature_Shed', 'Foundation_Slab', 'Neighborhood_CollgCr', 'BsmtFin SF 2', 'Neighborhood_Timber']"
41022.80255333338,0.7237619843801432,"['Exterior 1st_Stucco', 'Exter Cond_TA', 'Exterior 2nd_CmentBd', 'Lot Shape_Reg', 'Bsmt Cond_NA', 'Fireplaces', 'Bsmt Half Bath', 'Gr Liv Area', 'Land Contour_Low', 'Roof Matl_Membran', 'Garage Qual_Gd', 'Garage Qual_Fa', 'Bldg Type_TwnhsE', 'Bsmt Full Bath', 'Bsmt Exposure_Mn', 'Exter Qual_TA']"
41209.04115904036,0.7209737539327827,"['Overall Qual', 'Neighborhood_Somerst', 'Roof Matl_Membran', 'Bsmt Exposure_Gd', 'Functional_Min2', 'Garage Type_BuiltIn', 'BsmtFin SF 2', 'Land Contour_HLS', 'Exterior 2nd_Plywood', 'Exter Qual_Gd', 'Fireplaces', 'Low Qual Fin SF', 'Lot Config_Inside', 'Bldg Type_Twnhs', 'Garage Finish_RFn', 'Fireplace Qu_NA', 'Lot Config_FR2', 'House Style_2.5Unf']"
41296.86004582062,0.719783244126526,"['Sale Type_ConLw', 'Neighborhood_Blueste', 'Exterior 1st_BrkFace', 'Fence_GdWo', 'Sale Type_Oth', 'Gr Liv Area', 'Exterior 2nd_HdBoard', 'Roof Matl_Roll', 'BsmtFin Type 1_BLQ', 'BsmtFin Type 2_GLQ', 'BsmtFin Type 1_GLQ', 'Roof Style_Gambrel', 'Fence_MnPrv', 'Mas Vnr Type_None', 'Condition 2_RRNn', 'Garage Cars', 'Neighborhood_StoneBr', 'Roof Style_Mansard']"
